Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	5.184499
1	CPI Rate	0.757508
1	Average CPU Frequency	2749598323.744314
1	Total Thread Count	16
0	Effective Physical Core Utilization	12.6% (2.518 out of 20)
1	Effective Logical Core Utilization	6.2% (2.461 out of 40)
0	Memory Bound	32.1
1	Cache Bound	27.9
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	118.000000	12.800000	1.215161	0.0
1	DRAM Single-Package, GB/sec	59.000000	11.700000	1.091716	0.0
0	Collection and Platform Info	
1	Application Command Line	/home/users/dhamorim/pagerank-openmp/pagerank "-f" "/home/users/dhamorim/pagerank-openmp/data/web-BerkStan/web-BerkStan.txt" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype1
1	Result Size	10191185
1	Collection start time	01:58:28 06/10/2025 UTC
1	Collection stop time	01:58:34 06/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2297338049
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	59000000000.000000
