Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	3.842052
1	CPI Rate	1.556021
1	Average CPU Frequency	2665538693.387894
1	Total Thread Count	64
0	Effective Physical Core Utilization	13.9% (2.771 out of 20)
1	Effective Logical Core Utilization	11.5% (4.582 out of 40)
0	Memory Bound	53.5
1	Cache Bound	49.9
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	116.000000	35.500000	3.607448	0.0
1	DRAM Single-Package, GB/sec	58.000000	35.000000	3.482514	0.0
0	Collection and Platform Info	
1	Application Command Line	/home/users/dhamorim/pagerank-openmp/pagerank "-f" "/home/users/dhamorim/pagerank-openmp/data/web-Google/web-Google.txt" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype1
1	Result Size	10144254
1	Collection start time	01:56:21 06/10/2025 UTC
1	Collection stop time	01:56:25 06/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2297337904
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	58000000000.000000
