Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.450180
1	CPI Rate	0.700361
1	Average CPU Frequency	2294686250.000000
1	Total Thread Count	8
0	Effective Physical Core Utilization	10.5% (2.103 out of 20)
1	Effective Logical Core Utilization	5.0% (2.011 out of 40)
0	Memory Bound	23.5
1	Cache Bound	24.1
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	118.000000	3.400000	0.041374	0.0
1	DRAM Single-Package, GB/sec	59.000000	2.900000	0.441324	0.0
0	Collection and Platform Info	
1	Application Command Line	/home/users/dhamorim/pagerank-openmp/pagerank "-f" "/home/users/dhamorim/pagerank-openmp/data/web-NotreDame/web-NotreDame.txt" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype5
1	Result Size	5856446
1	Collection start time	23:03:41 26/09/2025 UTC
1	Collection stop time	23:03:42 26/09/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2294686250
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	59000000000.000000
