Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2.466119
1	CPI Rate	2.870409
1	Average CPU Frequency	2294686056.000000
1	Total Thread Count	32
0	Effective Physical Core Utilization	28.1% (5.629 out of 20)
1	Effective Logical Core Utilization	21.0% (8.417 out of 40)
0	Memory Bound	62.7
1	Cache Bound	61.1
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	114.000000	9.000000	2.177510	0.0
1	DRAM Single-Package, GB/sec	57.000000	9.000000	1.986928	0.0
0	Collection and Platform Info	
1	Application Command Line	/home/users/dhamorim/pagerank-openmp/pagerank "-f" "/home/users/dhamorim/pagerank-openmp/data/web-Stanford/web-Stanford.txt" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype5
1	Result Size	9049875
1	Collection start time	23:06:45 26/09/2025 UTC
1	Collection stop time	23:06:47 26/09/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2294686056
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	57000000000.000000
